date,t_min,t_max,rh_min,rh_max,u10_max_kmh,rs_mj_m2,precip_mm,u2_ms
2024-06-12,26.18,35.4,65.3,91.1,7.32,15.88,0.0,1.521
2024-06-13,26.2,34.51,65.0,84.3,10.4,11.76,0.0,2.161
2024-06-14,27.41,34.2,60.7,80.8,4.32,23.83,6.09,0.898
2024-06-15,25.63,33.34,66.9,90.2,8.11,26.65,0.0,1.685
2024-06-16,25.56,32.71,64.4,88.1,9.3,17.78,5.64,1.932
2024-06-17,25.36,33.91,77.6,91.8,8.74,13.19,0.0,1.816
2024-06-18,26.37,34.35,74.4,92.8,11.37,18.07,0.0,2.362
2024-06-19,26.73,36.18,67.3,90.6,10.03,18.14,11.25,2.084
2024-06-20,25.87,34.55,60.4,93.0,11.0,18.43,0.0,2.285
2024-06-21,25.36,35.41,58.3,90.9,6.93,15.66,21.04,1.44
2024-06-22,25.38,33.94,72.1,92.1,11.69,20.74,0.0,2.429
2024-06-23,26.42,33.26,66.6,87.2,13.89,20.57,0.0,2.886
2024-06-24,26.49,33.48,67.9,89.3,6.09,14.52,7.8,1.265
2024-06-25,26.35,33.73,54.5,90.8,6.34,21.1,5.98,1.317
2024-06-26,25.51,36.59,70.6,93.3,13.01,25.16,5.96,2.703
2024-06-27,26.14,33.65,67.7,88.4,8.43,19.52,5.6,1.751
2024-06-28,26.06,35.31,58.3,92.1,13.21,17.99,7.04,2.745
2024-06-29,26.14,33.57,62.2,88.9,7.67,18.57,17.59,1.594
2024-06-30,26.6,35.41,66.6,89.5,13.37,20.85,9.2,2.778
2024-07-01,26.15,34.87,65.3,93.3,9.39,13.81,1.88,1.951
2024-07-02,26.47,34.33,63.2,82.0,9.77,19.49,0.0,2.03
2024-07-03,26.04,34.45,64.4,84.8,13.69,17.83,0.0,2.844
2024-07-04,26.2,33.84,63.5,84.1,7.91,24.54,0.0,1.643
2024-07-05,26.44,34.94,65.9,80.7,6.18,18.48,9.05,1.284
2024-07-06,24.98,34.04,73.8,87.3,7.65,24.0,0.0,1.589
2024-07-07,25.78,33.27,49.6,93.0,10.36,15.69,0.0,2.152
2024-07-08,25.67,33.22,63.6,88.9,4.3,20.76,0.72,0.893
2024-07-09,25.55,34.67,66.1,90.8,10.91,19.96,10.57,2.267
2024-07-10,25.81,36.08,66.8,94.4,7.38,16.39,0.0,1.533
2024-07-11,27.05,34.66,62.8,95.3,12.44,19.53,4.31,2.585
2024-07-12,25.39,34.38,54.5,89.7,2.0,22.64,6.99,0.416
2024-07-13,26.68,34.78,67.0,95.4,6.64,18.03,0.0,1.38
2024-07-14,24.82,35.8,75.4,90.4,3.94,13.92,2.31,0.819
2024-07-15,25.76,34.71,55.8,86.7,6.52,18.95,6.77,1.355
2024-07-16,26.11,34.08,70.2,87.6,9.74,16.29,0.0,2.024
2024-07-17,26.4,35.59,63.0,84.1,8.46,17.97,0.0,1.758
2024-07-18,26.49,34.91,64.6,86.4,8.24,18.76,5.32,1.712
2024-07-19,26.54,36.01,58.7,88.6,8.52,13.88,0.0,1.77
2024-07-20,25.74,34.66,63.0,93.2,9.61,14.15,0.0,1.997
2024-07-21,25.66,33.24,72.8,96.9,5.97,20.45,16.88,1.24
2024-07-22,26.58,33.1,68.5,84.5,11.12,17.43,0.0,2.31
2024-07-23,25.84,36.11,75.4,91.6,10.99,11.31,10.45,2.283
2024-07-24,25.07,36.18,72.1,85.8,10.16,21.35,8.6,2.111
2024-07-25,25.17,34.27,67.6,91.9,10.67,19.82,0.0,2.217
2024-07-26,25.32,34.05,75.5,89.5,9.89,16.86,1.27,2.055
2024-07-27,26.3,35.89,67.6,82.7,15.11,15.05,0.0,3.139
2024-07-28,26.05,33.32,70.0,93.7,8.74,21.51,0.0,1.816
2024-07-29,26.43,33.52,63.2,87.6,8.08,20.05,26.26,1.679
2024-07-30,25.64,35.05,65.4,87.9,6.74,26.15,0.0,1.4
2024-07-31,26.04,34.0,60.8,85.7,5.9,20.26,13.24,1.226
2024-08-01,26.36,34.38,70.9,87.4,5.27,20.16,0.0,1.095
2024-08-02,25.7,34.21,57.9,91.7,6.33,18.5,6.62,1.315
2024-08-03,26.23,34.7,69.7,89.2,8.79,21.45,0.0,1.826
2024-08-04,25.44,35.76,63.9,91.3,10.0,20.88,0.0,2.078
2024-08-05,25.64,34.43,72.0,91.4,9.15,22.76,12.3,1.901
2024-08-06,25.62,34.98,69.5,95.3,6.7,17.44,0.0,1.392
2024-08-07,25.04,32.27,75.9,88.6,11.7,17.69,0.0,2.431
2024-08-08,26.21,34.26,69.4,84.1,11.22,17.56,0.0,2.331
2024-08-09,25.53,33.45,55.6,94.3,8.52,21.37,0.0,1.77
2024-08-10,25.86,33.06,64.6,88.7,7.04,23.5,0.0,1.463
2024-08-11,26.18,33.39,58.0,94.5,10.65,17.62,5.04,2.213
2024-08-12,26.15,33.92,61.9,91.5,9.56,17.73,9.44,1.986
2024-08-13,26.29,35.16,74.1,89.5,4.66,19.94,10.01,0.968
2024-08-14,25.75,32.9,68.8,91.4,8.8,18.26,0.0,1.828
2024-08-15,25.51,34.24,60.8,97.8,9.79,21.86,6.97,2.034
2024-08-16,25.74,33.71,58.9,98.3,6.3,12.24,17.86,1.309
2024-08-17,24.6,33.85,65.2,90.3,9.57,16.52,4.23,1.988
2024-08-18,24.76,35.17,57.7,90.6,4.64,16.65,0.0,0.964
2024-08-19,24.84,34.68,61.0,94.3,13.01,12.04,15.53,2.703
2024-08-20,25.05,35.47,66.9,86.6,12.74,16.11,0.0,2.647
2024-08-21,26.02,33.96,71.9,91.3,8.24,16.25,2.46,1.712
2024-08-22,25.1,33.4,68.7,89.9,10.09,18.4,0.0,2.096
2024-08-23,25.45,33.85,51.3,91.3,2.0,22.34,3.13,0.416
2024-08-24,26.62,34.3,66.8,86.7,5.53,18.26,4.06,1.149
2024-08-25,25.44,34.22,65.4,83.6,8.12,15.91,0.0,1.687
2024-08-26,26.2,32.94,67.5,81.7,5.78,18.83,0.0,1.201
2024-08-27,25.01,34.09,74.7,85.5,11.14,22.15,7.73,2.314
2024-08-28,25.51,34.21,52.6,88.2,14.99,16.07,1.33,3.114
2024-08-29,24.98,36.48,61.5,88.8,5.47,16.27,0.0,1.136
2024-08-30,25.39,35.82,68.5,97.7,6.49,20.68,0.0,1.348
2024-08-31,26.2,33.07,55.5,94.4,9.71,18.34,6.05,2.017
2024-09-01,24.39,33.62,73.9,86.2,13.83,20.94,4.44,2.873
2024-09-02,25.89,32.42,67.2,91.4,5.33,18.96,0.0,1.107
2024-09-03,25.74,33.27,70.1,88.4,9.75,21.1,0.0,2.026
2024-09-04,25.14,34.15,61.6,88.9,14.46,15.89,0.0,3.004
2024-09-05,24.53,35.02,69.9,90.7,4.04,18.96,0.0,0.839
2024-09-06,25.58,33.07,71.4,92.5,5.16,18.37,5.62,1.072
2024-09-07,25.15,33.12,66.4,88.6,7.73,15.35,0.0,1.606
2024-09-08,25.66,31.6,66.4,94.3,7.44,14.31,0.0,1.546
2024-09-09,25.5,33.57,66.6,85.4,11.44,21.06,0.0,2.377
2024-09-10,26.59,32.64,59.8,90.0,9.72,17.95,8.7,2.019
2024-09-11,25.29,33.15,64.1,99.0,3.68,15.93,10.19,0.765
